Project	Species	NumIsolates	AvgGenomeBP	TotalBP	NumVariantSite	NumBiallelicSite	NumTriallelicSite	NumQuadallelicSite	NumMultiallelicSite	NumVariantLow	NumBiallelicLow	NumMultiallelicLow	NumVariantModerate	NumBiallelicModerate	NumMultiallelicModerate	NumVariantHigh	NumBiallelicHigh	NumMultiallelicHigh	MeanSNPDist	MedianSNPDist	MaxSNPDist	NumBiallelicOverlappingGene	Percent	Dataset Size (#)	Dataset	hex_color	color
Cd_4	C. difficile	2	4300000	8600000	1815	1815	0	0	0	1236	1236	0	601	601	0	8	8	0	1815	1815	1815	199	1	2	C. difficile #4	#4363d8	blue
Cd_4	C. difficile	2	4300000	8600000	3664	3664	0	0	0	2318	2318	0	1397	1397	0	25	25	0	3664	3664	3664	364	1	2	C. difficile #4	#4363d8	blue
Cd_4	C. difficile	2	4300000	8600000	66887	66887	0	0	0	48815	48815	0	18824	18824	0	158	158	0	66887	66887	66887	6198	1	2	C. difficile #4	#4363d8	blue
Cd_4	C. difficile	6	4300000	25800000	3001	2998	3	0	3	1886	1883	3	1150	1149	1	14	14	0	1277.1333333333334	1365	2579	316	2.5	6	C. difficile #4	#4363d8	blue
Cd_4	C. difficile	6	4300000	25800000	6325	6312	13	0	13	4077	4066	11	2330	2325	5	23	23	0	2342.5333333333333	2193	3521	661	2.5	6	C. difficile #4	#4363d8	blue
Cd_4	C. difficile	6	4300000	25800000	7801	7778	23	0	23	4761	4740	21	3111	3103	8	46	46	0	2829.3333333333335	2983	3827	809	2.5	6	C. difficile #4	#4363d8	blue
Cd_4	C. difficile	6	4300000	25800000	6423	6410	13	0	13	4137	4126	11	2355	2350	5	21	21	0	2397.9333333333334	2287	3950	601	2.5	6	C. difficile #4	#4363d8	blue
Cd_4	C. difficile	6	4300000	25800000	10546	10525	21	0	21	6874	6857	17	3753	3748	5	45	45	0	3740.866666666667	2842	7361	1090	2.5	6	C. difficile #4	#4363d8	blue
Cd_4	C. difficile	6	4300000	25800000	6219	6205	14	0	14	3962	3950	12	2347	2342	5	34	34	0	2427.2	2390	3676	633	2.5	6	C. difficile #4	#4363d8	blue
Cd_4	C. difficile	6	4300000	25800000	5984	5964	20	0	20	3632	3615	17	2409	2403	6	35	34	1	2454.9333333333334	2617	3336	617	2.5	6	C. difficile #4	#4363d8	blue
Cd_4	C. difficile	6	4300000	25800000	24548	24501	47	0	47	16442	16403	39	8304	8290	14	119	119	0	8363.266666666666	5088	21064	2547	2.5	6	C. difficile #4	#4363d8	blue
Cd_4	C. difficile	6	4300000	25800000	8179	8160	19	0	19	5208	5189	19	3073	3069	4	48	47	1	3091.5333333333333	3242	3764	806	2.5	6	C. difficile #4	#4363d8	blue
Cd_4	C. difficile	6	4300000	25800000	69177	69075	102	0	102	50175	50095	80	19758	19718	40	169	169	0	23094.066666666666	2244	66887	6301	2.5	6	C. difficile #4	#4363d8	blue
Cd_4	C. difficile	12	4300000	51600000	10490	10458	32	0	32	6520	6492	28	4077	4068	9	47	46	1	2189.378787878788	2202	4513	1009	5	12	C. difficile #4	#4363d8	blue
Cd_4	C. difficile	12	4300000	51600000	73509	73254	254	1	255	52760	52544	216	21533	21441	92	192	192	0	12746.848484848484	2200.5	67498	6468	5	12	C. difficile #4	#4363d8	blue
Cd_4	C. difficile	12	4300000	51600000	15169	15106	63	0	63	9566	9514	52	5712	5687	25	78	77	1	3118.939393939394	2796.5	7512	1521	5	12	C. difficile #4	#4363d8	blue
Cd_4	C. difficile	12	4300000	51600000	12257	12215	42	0	42	7473	7437	36	4881	4864	17	65	64	1	2701.7727272727275	2659.5	4633	1160	5	12	C. difficile #4	#4363d8	blue
Cd_4	C. difficile	12	4300000	51600000	75402	75057	344	1	345	54031	53750	281	22138	22029	109	204	204	0	13326.424242424242	2670	67784	6512	5	12	C. difficile #4	#4363d8	blue
Cd_4	C. difficile	12	4300000	51600000	10962	10920	42	0	42	7005	6969	36	4073	4061	12	57	55	2	2645.7727272727275	2842.5	4687	1120	5	12	C. difficile #4	#4363d8	blue
Cd_4	C. difficile	12	4300000	51600000	9842	9803	39	0	39	6236	6202	34	3699	3690	9	53	51	2	2403.318181818182	2521	4702	965	5	12	C. difficile #4	#4363d8	blue
Cd_4	C. difficile	12	4300000	51600000	27359	27285	74	0	74	18001	17938	63	9553	9530	23	137	137	0	5324.257575757576	2257.5	21064	2858	5	12	C. difficile #4	#4363d8	blue
Cd_4	C. difficile	12	4300000	51600000	12237	12191	46	0	46	7570	7531	39	4798	4782	16	69	68	1	2821.0454545454545	2940.5	3834	1126	5	12	C. difficile #4	#4363d8	blue
Cd_4	C. difficile	12	4300000	51600000	73851	73575	276	0	276	52857	52631	226	21789	21692	97	197	195	2	12712.560606060606	2228.5	67063	6466	5	12	C. difficile #4	#4363d8	blue
Cd_4	C. difficile	19	4300000	81700000	81595	81037	556	2	558	57279	56814	465	25118	24923	195	243	241	2	9518.345029239767	2768	67236	6693	7.5	19	C. difficile #4	#4363d8	blue
Cd_4	C. difficile	19	4300000	81700000	75972	75642	329	1	330	54087	53811	276	22677	22557	120	210	209	1	8805.309941520467	2157	67498	6571	7.5	19	C. difficile #4	#4363d8	blue
Cd_4	C. difficile	19	4300000	81700000	19073	18988	85	0	85	12017	11948	69	7196	7163	33	106	105	1	3082.6666666666665	2941	7947	1859	7.5	19	C. difficile #4	#4363d8	blue
Cd_4	C. difficile	19	4300000	81700000	16401	16331	70	0	70	9855	9798	57	6661	6632	29	90	89	1	2694.4853801169593	2662	5278	1491	7.5	19	C. difficile #4	#4363d8	blue
Cd_4	C. difficile	19	4300000	81700000	77894	77485	408	1	409	55341	55005	336	23316	23185	131	232	230	2	9152.941520467837	2250	67784	6656	7.5	19	C. difficile #4	#4363d8	blue
Cd_4	C. difficile	19	4300000	81700000	75995	75637	356	2	358	54162	53871	291	22629	22499	130	216	214	2	9167.649122807017	2656	66946	6560	7.5	19	C. difficile #4	#4363d8	blue
Cd_4	C. difficile	19	4300000	81700000	13063	13008	55	0	55	8308	8262	46	4896	4878	18	67	65	2	2205.3801169590643	1946	5637	1290	7.5	19	C. difficile #4	#4363d8	blue
Cd_4	C. difficile	19	4300000	81700000	31480	31347	133	0	133	20497	20392	105	11196	11146	50	156	156	0	4521.06432748538	2667	21064	3247	7.5	19	C. difficile #4	#4363d8	blue
Cd_4	C. difficile	19	4300000	81700000	15530	15460	70	0	70	9402	9340	62	6268	6245	23	95	93	2	2647.4327485380118	2843	4538	1447	7.5	19	C. difficile #4	#4363d8	blue
Cd_4	C. difficile	19	4300000	81700000	75098	74784	314	0	314	53535	53279	256	22362	22253	109	205	203	2	8436.935672514619	1928	67063	6512	7.5	19	C. difficile #4	#4363d8	blue
Cd_4	C. difficile	25	4300000	107500000	82871	82271	598	2	600	57984	57493	491	25685	25462	223	257	255	2	12478.936666666666	2765	67307	6784	10	25	C. difficile #4	#4363d8	blue
Cd_4	C. difficile	25	4300000	107500000	79298	78869	428	1	429	55899	55543	356	24196	24045	151	234	232	2	7256.776666666667	2200	67498	6699	10	25	C. difficile #4	#4363d8	blue
Cd_4	C. difficile	25	4300000	107500000	95220	94011	1201	8	1209	66900	65910	990	29182	28780	402	303	300	3	9789.876666666667	3028.5	71815	7097	10	25	C. difficile #4	#4363d8	blue
Cd_4	C. difficile	25	4300000	107500000	80404	79924	478	2	480	56390	55996	394	24795	24614	181	242	241	1	7579.316666666667	2583	67111	6684	10	25	C. difficile #4	#4363d8	blue
